file	segment	sentences	DeepSeek_dim1	DeepSeek_dim2	DeepSeek_dim4	GPT-4o_dim1	GPT-4o_dim2	GPT-4o_dim4	Claude_dim1	Claude_dim2	Claude_dim4
2020_MLa_100_2.docx	Introductory material	There is an opinion that watching sports on telly or visiting sports events on stadiums is killing the time that could be used for better things.	H	L	H	H	H	H	H	H	H
2020_MLa_100_2.docx	Thesis	In my opinion, there is some truth in it, but I cannot fully agree as well.	H	H	H	H	H	L	H	H	L
2020_MLa_100_2.docx	Argument	First of all, I'll try to explain why I think watching sport is good for some people.	H	H	L	H	H	L	H	H	H
2020_MLa_100_2.docx	Elaboration	All of us have their leisure time and there is no secret that a lot of us like some kind of sport activity.	H	L	H	L	L	L	H	L	H
2020_MLa_100_2.docx	Elaboration	Therefore, when you have nothing to do or you want to rest for some time, it may be useful to watch your favourite sport, look at the professionals and their skill level.	H	H	H	H	H	H	H	H	H
2020_MLa_100_2.docx	Elaboration	It may even be a motivator for somebody to start working on themselves and to become a better specialist in the things they do.	H	H	H	H	H	H	H	H	H
2020_MLa_100_2.docx	Elaboration	Moreover, professional sports are estetically attractive: athletes on their peak compete for the prize and try to become a legacy.	H	L	H	H	L	L	H	L	L
2020_MLa_100_2.docx	Elaboration	One more fun thing about watching sports is that you can go to live sport events with your friends and have a great time, it is a brilliant possibility to see your favorite sportsmen and enjoy the crowd.	H	L	H	H	L	H	H	L	H
2020_MLa_100_2.docx	Argument	Secondly, it is important to notice that watching sports can really become a struggle for someone.	L	H	L	L	H	L	L	H	H
2020_MLa_100_2.docx	Elaboration	For example, a lot of people in our country watch sports only as a reason to drink a bottle of beer or just to escape from their home duties.	H	H	H	H	H	H	H	H	H
2020_MLa_100_2.docx	Elaboration	These habits are bad and soon convert into a system of alcohol addiction and loosing interest in the basic process of watching.	L	L	H	L	L	H	H	L	H
2020_MLa_100_2.docx	Argument	Also, there is one more bad thing you can be dragged into watching sports - it is bets.	H	L	H	L	L	H	H	L	H
2020_MLa_100_2.docx	Elaboration	If you cannot control your passion, it is better for you not to invest money in something like this, because you can easilly loose a lot if you will not notice that it is time to stop.	H	L	L	H	L	L	H	L	L
2020_MLa_100_2.docx	Conclusion	In conclusion, I would like to say that even if sometimes it can be useful to watch sports and have a good time, it may become a harmfull experience for you if you get dragged into it too much.	H	L	H	H	L	H	H	L	H
2020_MLa_101_2.docx	Thesis	One question that caused a great deal of contoroversy over the years is that watching any kind of sports is useless.	H	L	H	L	L	H	H	L	H
2020_MLa_101_2.docx	Thesis	Altough, in my opinion, it is a good way to vary your free time.	H	L	H	H	L	H	H	L	H
2020_MLa_101_2.docx	Argument	The strongest reason in supporting my point of view is that sports is one of the most popular hobbies that helps people not only to spend their time efficiently but also be healthy and keep fit.	H	H	H	H	H	H	H	H	H
